"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10001" 0.505779001886232 0.733627519065876 0.221347801672728 0.0198712167618507 27
"10002" 0.469513490244019 0.719131604364416 0.151191293685578 0.0256034426378534 19
"10003" 0.568918907845047 0.692058682231238 0.182468675365667 0.0258647235702564 12
"10004" 0.596306694188776 0.890503499481519 0.210689713863719 0.0159449300252749 49
"10006" 0.52541078684705 0.915653943682708 0.210766216697775 0.0173722126967442 69
"10008" 0.55881766851556 0.986161062112389 0.20120444370822 0.0208762714265707 115
"10011" 0.676235157504506 0.979357860026923 0.184784073887313 0.00638602607010745 151
"10013" 0.542936971910212 0.887027625076508 0.197556971808001 0.0218598176461024 59
"10014" 0.468107600559216 0.992846095255382 0.208419146562107 0.0108730687560904 100
"10017" 0.490727384811827 0.707994126325682 0.221183524214121 0.0223391027312325 22
"10020" 0.4200848375645 0.981551523804749 0.244135817754193 0.0306964025784191 146
"10021" 0.594748581483876 0.985550093750143 0.181971314622757 0.00349326370878418 218
"10023" 0.540777411059198 0.946986081994542 0.149249206237361 0.016615055642453 73
"10027" 0.53443331948854 0.988900308121934 0.257507184409252 0.0177576833353595 142
"10028" 0.620646326728526 0.815339390620708 0.214012853197945 0.0201389692700226 33
"10037" 0.495636077141467 0.792477526029368 0.108849947479118 0.00900340315638484 35
"10038" 0.520201621268798 0.796584995103315 0.238771316234023 0.0278221466322279 38
"10041" 0.655724941793113 0.990136593747979 0.144720169130593 0.00656518590785058 78
"10042" 0.551247737135577 0.850446156195181 0.192870866672039 0.0166180978346734 41
"10045" 0.55388182959 0.777463164641827 0.190633249301325 0.0200887922192426 27
"10047" 0.596305239906404 0.8546452287112 0.233777615039285 0.0126751175044606 48
"10049" 0.418570337328653 0.919965195918688 0.141140664466277 0.0193476534528669 78
"10050" 0.551864358306643 0.694912898895415 0.109344193364842 0.015111668247153 15
"10051" 0.506154413943463 0.840170981096015 0.120201458263994 0.0172962058915721 40
"10055" 0.453530780433301 0.759347283449787 0.14863239010978 0.0134950023900812 27
"10060" 0.506734055849883 0.964663533541298 0.0764662011482498 0.0302342395476103 123
"10062" 0.471203136638119 0.629655255155565 0.11022430638822 0.0191365323665805 10
"10066" 0.524144514804889 0.938994880432971 0.22548020023818 0.0221984278548974 71
"10067" 0.480576367552556 0.910224887782968 0.181034392806026 0.0208189971514796 74
"10069" 0.617656049622559 0.974470957082588 0.207287848665586 0.0215184862758788 71
"10072" 0.478990762038854 0.971401255551326 0.201370091569039 0.030327417153273 150
