"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10001" 0.557042606513072 0.549636658440794 0.11874144149082 0.0340796706871271 27
"10002" 0.610753222444434 0.573492037043386 0.0885507871178284 0.0231727686267312 19
"10003" 0.60512873453276 0.590780781251486 0.0893072326427394 0.0235790482794348 12
"10004" 0.573929429037665 0.564834940068591 0.138225598756349 0.0228407790469068 49
"10006" 0.591944466608491 0.561987685094056 0.118719427281986 0.0181474474872499 69
"10008" 0.603503786265848 0.593182021923708 0.0925522725219122 0.026761824216353 115
"10011" 0.668630326832304 0.627583239013274 0.100138962781336 0.028194248987822 151
"10013" 0.556331080468899 0.563698205175129 0.124897252559078 0.0136493596739153 59
"10014" 0.598007441419865 0.589622973976291 0.134271914322947 0.0183742658112367 100
"10017" 0.527147774658873 0.53640862403698 0.147915325115604 0.0273376123690339 22
"10018" 0.585206861695899 0.596773683633943 0.120706189059167 0.0288263109870123 96
"10020" 0.626039893986439 0.585054436741251 0.133506930556455 0.0243168689733694 146
"10021" 0.634116949702474 0.626347402400842 0.12036476016866 0.0217488488430433 218
"10023" 0.612214404356764 0.610492042298682 0.102450559741132 0.019713933159178 73
"10024" 0.641735457710695 0.611809566235452 0.0640907708325369 0.0123960885331573 312
"10027" 0.672195063708686 0.628888660905472 0.108064243104596 0.0241663672221392 142
"10028" 0.577385075547272 0.541546024715573 0.157825669256629 0.0225594359927618 33
"10036" 0.608742427579107 0.596261877247887 0.146794053210019 0.0229548311903673 120
"10037" 0.631598389473007 0.602665380238198 0.128862498415501 0.0218065078331771 35
"10038" 0.610978917583514 0.603083335445807 0.0899377753520934 0.0204476637019011 38
"10040" 0.626795160228231 0.599694347431991 0.092600493723077 0.0213484169117732 288
"10041" 0.639531175293023 0.607265438056077 0.0397664277187676 0.0234043376506718 78
"10042" 0.654355829990879 0.602783157080258 0.134746204685419 0.0288628779773336 41
"10045" 0.509519567649784 0.509287796012253 0.140523735648443 0.0374898002766021 27
"10047" 0.6495441050302 0.58595665678211 0.112909478823471 0.0289821449190446 48
"10049" 0.616828690661092 0.592879217821613 0.176344470124383 0.0245068514469012 78
"10050" 0.458089154426955 0.464333265885667 0.117770041820866 0.037898156658644 15
"10051" 0.551694319054365 0.538844867340739 0.10941487482177 0.0346369868495545 40
"10055" 0.575350171761525 0.550127644509752 0.124726502032564 0.0293847313915892 27
"10060" 0.607733651005447 0.590284154206356 0.108855758011602 0.0268202018217709 123
"10062" 0.480562105401807 0.47460287823579 0.109831268699357 0.0382878641712993 10
"10066" 0.585504044482892 0.567564377167576 0.0605966021975675 0.0250818544813627 71
"10067" 0.612509918491241 0.585589567532557 0.0941937662654163 0.0254956385707238 74
"10069" 0.575057545837555 0.584155308243581 0.0755595507998653 0.0201384668273116 71
"10071" 0.639525449873769 0.62146388416073 0.114670933306684 0.0163934457803463 83
"10072" 0.611793665722186 0.600017480003288 0.124253732757533 0.0286474161237027 150
"10073" 0.589071163362276 0.572751081424281 0.0901869881411982 0.0197394425646171 16
"10079" 0.549280395314124 0.531458795444479 0.10085638676576 0.013919920421992 15
"10080" 0.530877840617763 0.549604425134591 0.139864168102061 0.0353569488328451 10
"10082" 0.560084886216408 0.539601098808383 0.192782867928752 0.0384404324628461 10
"10091" 0.511190161966318 0.49705455626329 0.161597689616968 0.0259812498077304 12
"10092" 0.554454391104583 0.540323158774704 0.156800690721572 0.0339248212460345 11
"10096" 0.636528855209584 0.612840811018908 0.16102795581124 0.0246098863591002 71
"10097" 0.61555624552839 0.587527134616366 0.125624961383307 0.0313646066336561 114
"10098" 0.601616144256429 0.588025344145603 0.053973996597432 0.0221273116897827 153
"10099" 0.591537784214621 0.601814581178299 0.0980760518263764 0.0180122591183247 60
"10102" 0.589699053621303 0.590959872276807 0.13030736776348 0.0297388031679938 14
"10103" 0.647760997368454 0.622764675102214 0.090241258121244 0.0297930906261474 370
"10104" 0.601696290010697 0.572558260409755 0.11044022692996 0.0161857167700163 18
"10114" 0.590001445151446 0.609437071530707 0.128412944543687 0.026919266346642 109
"10115" 0.560251183855381 0.545555766037576 0.0906563565595441 0.0352022380100904 42
"10117" 0.597865569206062 0.586257557300246 0.154776627788442 0.0210944434210763 10
