"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10001" 0.459055213669094 0.670146592541924 0.184960722980804 0.0147710064191076 27
"10002" 0.512858888568478 0.64014861947314 0.139576519145763 0.0145129832373334 19
"10003" 0.514280178329149 0.607627258860671 0.135063446853392 0.0174450650073461 12
"10004" 0.545225072557951 0.772797742060317 0.171270657442046 0.0127033321668633 49
"10006" 0.522198726032462 0.724483125251519 0.122784391556547 0.0118289528776448 69
"10008" 0.597253210579755 0.857928581911065 0.176871873157573 0.0163021023132575 115
"10011" 0.656755810715135 0.929733217939258 0.115937208822583 0.0152310725888696 151
"10013" 0.53891389475638 0.763038550693475 0.140897558240845 0.00956709237402828 59
"10014" 0.616171310766642 0.852513898463557 0.106048191446398 0.0100309948325847 100
"10017" 0.532996667612401 0.639075573914159 0.152471178111731 0.0231173380161996 22
"10018" 0.580202572984908 0.817812002383121 0.112743826123519 0.0122288458061494 96
"10020" 0.5751347259448 0.932517162867278 0.110081132068265 0.0110003606298211 146
"10021" 0.598281859146434 0.926253572602227 0.145136175693333 0.0426478166718457 218
"10023" 0.579231896587772 0.804740169223932 0.147090665987137 0.0176971770732178 73
"10024" 0.599923559765403 0.952950922194544 0.143277528940077 0.0140357046789321 312
"10027" 0.577254105164394 0.894659373818336 0.123322293307968 0.0375898755438116 142
"10028" 0.584096395532081 0.691372115871843 0.0860579814281623 0.0202602350473857 33
"10036" 0.6038319924024 0.872932184189409 0.120552182008548 0.00873286935512186 120
"10037" 0.613798665146292 0.72578531322067 0.0980690883397042 0.0119173297067118 35
"10038" 0.565464351831633 0.731288696337439 0.105053205859072 0.0154250248474167 38
"10040" 0.550619891846088 0.924211149259553 0.120707894757373 0.0186278822059031 288
"10041" 0.698354486474445 0.850032628589981 0.08845886993474 0.00917231001098888 78
"10042" 0.595750647829695 0.731828393968341 0.15016526785335 0.0121029575769359 41
"10045" 0.517834971949501 0.659906316079861 0.116264705164635 0.0230522094343103 27
"10047" 0.62193837350583 0.762571524860125 0.144472151239247 0.0138269418041961 48
"10049" 0.54821740395722 0.801240949042881 0.103743991967887 0.0128096920079399 78
"10050" 0.540583166697736 0.592715038106621 0.180375415039965 0.0244715850756227 15
"10051" 0.488389957598016 0.69158773011294 0.130202380529927 0.0175875195343488 40
"10055" 0.533844451970341 0.667496762712221 0.0753151187037069 0.0092926176430804 27
"10060" 0.618344926266237 0.881429762961343 0.139640835601237 0.0174725849083599 123
"10062" 0.485145683895969 0.587002938426923 0.118041597555403 0.0136748339323886 10
"10066" 0.54872524382235 0.776285015862937 0.122261445380434 0.0131104499798216 71
"10067" 0.520430263188494 0.789172159730821 0.105049774170321 0.0138342021855171 74
"10069" 0.580167982046401 0.812381695230242 0.142606661336632 0.0120185751541945 71
"10071" 0.568246055244511 0.822016145058827 0.1179634300516 0.0113288209589006 83
"10072" 0.589072839416593 0.919274610788782 0.133245314025862 0.025169525665057 150
"10073" 0.574380669732105 0.649103648717359 0.150108904646724 0.018951082642863 16
"10079" 0.509056216930354 0.604659575772316 0.127265808487712 0.0137655606939482 15
"10080" 0.568670450741694 0.607065557127139 0.12086956804839 0.0164732430996215 10
"10082" 0.457723125040732 0.591439094393534 0.124967661428963 0.0179520598923279 10
"10091" 0.507097294521536 0.583974228715747 0.121681431099204 0.0127662426573802 12
"10092" 0.542877759001801 0.606348382438883 0.112834271512691 0.0134765416184792 11
"10096" 0.654078795680525 0.812128501034595 0.161687426619493 0.013053572990951 71
"10097" 0.56035198594826 0.837846230032555 0.129916115361522 0.0172486716825077 114
"10098" 0.651691657984937 0.939059559618198 0.131105939605608 0.0125350646736524 153
"10099" 0.57391724813661 0.753900668169649 0.12661970036976 0.0205223611203874 60
"10102" 0.574387083012001 0.641435244321134 0.121829830400409 0.0224929066216066 14
"10103" 0.520573191055288 0.969920741203559 0.0521904789757494 0.00708048816258879 370
"10104" 0.569971103742273 0.620729998305264 0.16601895790321 0.0159033488275928 18
"10114" 0.535124331110016 0.864537264569225 0.178664393135308 0.00855304521957548 109
"10115" 0.547950427280785 0.72696192852533 0.114315477728019 0.0167891273251341 42
"10117" 0.541826207892361 0.626114331861787 0.111320561654709 0.0109917366673603 10
"10120" 0.549046101535839 0.819120637628481 0.131017381531601 0.0122257595461788 96
