"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10001" 0.554605210288171 0.551481254518958 0.0463745850426506 0.0141136475583941 27
"10002" 0.604687878765597 0.568796368682031 0.0941451134932685 0.0186926114435769 19
"10003" 0.534231732304563 0.549463194333928 0.0794503456654661 0.020785683930331 12
"10004" 0.617831545003625 0.572979954917421 0.0839817494587877 0.0167304807732353 49
"10006" 0.593112011579963 0.594222133991825 0.0757421355103172 0.0123937891037388 69
"10008" 0.604489819603193 0.59189032144842 0.0747345941934158 0.0165418530990117 115
"10011" 0.631531799580502 0.620706410222181 0.0964095333744534 0.0199636666935713 151
"10013" 0.551257262944508 0.586155401171166 0.133237728089213 0.0252701846542793 59
"10014" 0.626699133948099 0.613752470692501 0.0677158016984916 0.0208220979636329 100
"10017" 0.541800638403116 0.526895119319786 0.0670329787584736 0.0204217369186547 22
"10018" 0.582270572034797 0.592199841760093 0.0693652985017788 0.0174518564292826 96
"10020" 0.584274025553569 0.591024661965444 0.0705013572382815 0.0170747739414448 146
"10021" 0.646693563311964 0.606193412049272 0.0911960257070006 0.0148248702886234 218
"10023" 0.607886594839711 0.591620088586034 0.0722247172428378 0.0168827684707563 73
"10024" 0.614701722299282 0.612377389489367 0.0948764293132119 0.0151666427101301 312
"10027" 0.646271626937638 0.6155346376505 0.0626359038087862 0.0271309163270504 142
"10028" 0.570481331445549 0.561354385226323 0.0771569078136517 0.018658054564902 33
"10036" 0.604569582237665 0.599367783000198 0.0935104603773112 0.022594650248301 120
"10037" 0.566756490727546 0.562952298564368 0.098103676727457 0.0249137284412119 35
"10038" 0.595608316952813 0.578369299143336 0.0854062737214972 0.0137674032455741 38
"10040" 0.613276612768244 0.610289684484944 0.0751937079689675 0.0278357461445095 288
"10041" 0.606828428724499 0.59837996360426 0.0587264398681795 0.00680243301563298 78
"10042" 0.58258297572794 0.576363141897486 0.0813786278362279 0.0133522973056021 41
"10045" 0.528406372944539 0.527512777923999 0.0872705855919165 0.0150274214735184 27
"10047" 0.605959303619315 0.57669441546621 0.0740461848271112 0.0222048699840942 48
"10049" 0.616962886629507 0.605974548043963 0.111791678198126 0.00965685920635729 78
"10050" 0.539780480710209 0.514058955397148 0.0728924339356395 0.0287013467368118 15
"10051" 0.589525892759493 0.553667931242635 0.0679528996737556 0.0165198017112036 40
"10055" 0.602047677663979 0.560585726719328 0.0897823064621568 0.0297121694447523 27
"10060" 0.623451958256598 0.602362442307703 0.0766267856076174 0.0192210263131622 123
"10062" 0.528576113717446 0.534282255307243 0.0698029677073336 0.0176662471104927 10
"10066" 0.594978077828469 0.580284764713301 0.091925150355467 0.0213468358228756 71
"10067" 0.585024325106796 0.579346936835499 0.0898423031696179 0.0178878420831618 74
"10069" 0.594702295582101 0.588968797488351 0.0715875987505997 0.0237902582976799 71
"10071" 0.607808498725221 0.60225151217591 0.0938515756913792 0.0256749125098351 83
"10072" 0.641086184810842 0.589453743856922 0.0918512250898242 0.016711611514412 150
"10073" 0.561980825438353 0.567605624205228 0.114789536462507 0.0261860687136049 16
"10079" 0.5374444899616 0.545782042089889 0.0935172130548575 0.01835106872704 15
"10080" 0.531258051830046 0.537236326320948 0.094337675144297 0.0213812540535366 10
"10082" 0.514773429065031 0.526652701504054 0.109285984184631 0.0185095907683824 10
"10091" 0.505144501466881 0.519311936676884 0.0772063942437787 0.0218650247676406 12
"10092" 0.594894833736215 0.547539576388218 0.0960161926520392 0.00988154468741478 11
"10096" 0.612702765786813 0.587106184349746 0.113251069505199 0.0162451513172946 71
"10097" 0.593368263270935 0.611441474945747 0.116867648999709 0.0230757802617804 114
"10098" 0.646967480752823 0.6003892880928 0.112245418550705 0.025454760540697 153
"10099" 0.60412722989718 0.589472212987187 0.0932612648221304 0.0168117573241839 60
"10102" 0.612247691848871 0.595260183917546 0.0703893807620794 0.0269569697504211 14
"10103" 0.623583100475324 0.613639084327833 0.0778052700925357 0.020834136458519 370
"10104" 0.617134346534354 0.586044391055565 0.0810832954707933 0.015484429372028 18
"10114" 0.605677194004076 0.599930247871008 0.0391793650099167 0.0117178555967691 109
"10115" 0.580572486141128 0.557299280079702 0.0718589573102959 0.00937278158100027 42
"10117" 0.55402638920485 0.548717445975684 0.0701535017756913 0.0167641810512592 10
"10120" 0.617462999145593 0.591591214654114 0.0546323591064209 0.0126419398980374 96
"10125" 0.620768855445108 0.617994146793049 0.0701482737199516 0.0169580844328595 147
"10126" 0.603219947397074 0.588425012939072 0.0845075566195741 0.0188881732233429 43
"10127" 0.645557261943756 0.614699433647995 0.0664062796801565 0.0214567927715056 163
"10128" 0.628138888265876 0.603921663956015 0.104859206661362 0.0213268122357091 66
"10129" 0.550251825252349 0.544877938165918 0.104519181440187 0.0169410256810671 32
"10130" 0.592603260523125 0.568579108010393 0.0733015711050189 0.0172005618216141 26
"10132" 0.560624416702012 0.585554868628013 0.0604905790387912 0.0234625221007784 96
"10133" 0.628654826424487 0.598873031410236 0.0806179718522762 0.0247279620584007 36
"10135" 0.598375274798605 0.603847183855598 0.108815901682029 0.0162413051420149 108
"10136" 0.617875147782511 0.57787137774373 0.0805487645159933 0.0332434528725931 40
"10138" 0.629433498686269 0.631585120896347 0.10209032364134 0.0124579662123851 150
"10141" 0.630821370467931 0.614691710651501 0.0754379950590363 0.0119224573345678 262
"10143" 0.607369162247067 0.584798135571685 0.0958192512163736 0.0234832027910465 30
"10150" 0.566407605287068 0.577526119181222 0.118891831475701 0.0204123955333712 35
"10151" 0.636358191951325 0.612062767381462 0.0899758840280618 0.0274062428953176 215
"10152" 0.612421932409655 0.595916111019542 0.0859645013755309 0.0197033364220403 69
"10157" 0.619472188861518 0.599715340088673 0.109354452621832 0.0176252517292292 189
"10158" 0.574533632006711 0.563190995252835 0.0787300049118138 0.0272565344926352 23
"10159" 0.634589954012787 0.608100355721823 0.07718583080297 0.017597079505928 96
"10160" 0.550737934362263 0.564761585342732 0.12200511681919 0.0184553569051176 10
"10165" 0.612733040062959 0.615704922280163 0.081415738441469 0.0208270958353459 70
"10166" 0.601187249827146 0.601229797748295 0.0379125572062669 0.0188819525274233 120
"10167" 0.605609396226564 0.565654848107182 0.0622072627696881 0.0275892455076765 78
"10168" 0.619429762698485 0.584080679887123 0.0916585689751083 0.0158538722919393 41
"10169" 0.607268670339131 0.600882909709774 0.0957137919463072 0.0215470412881052 81
"10172" 0.566834025911343 0.549638364355805 0.0973456320179469 0.02327648384121 15
"10175" 0.636764096963557 0.633214402155855 0.111714394913392 0.0122320432608657 265
"10176" 0.621170066980122 0.595569830457545 0.0752869838909487 0.0198219068314516 140
"10177" 0.529592496563609 0.548712986282813 0.134970841805069 0.0144543943996657 37
"10180" 0.597037465894861 0.600108525722941 0.0802211548291023 0.0277388076994264 108
"10181" 0.569056749771718 0.579672715897526 0.104865600796881 0.0145821994493964 21
"10182" 0.620097195953127 0.595075406012009 0.0573773763892527 0.0230556025261135 113
"10187" 0.557170737641999 0.553453776561047 0.117235878020837 0.031427256033662 59
"10189" 0.615890411852239 0.608409812875291 0.0768279407971294 0.0139805204961077 188
"10192" 0.658079327271872 0.628902078267143 0.128174800569278 0.0227807692638377 269
"10194" 0.568620509494618 0.555959455864935 0.0773165724336028 0.0161272629139235 12
"10198" 0.580846017103586 0.583261411811619 0.0549659910731052 0.0247428997040517 110
"10206" 0.581993120976934 0.562301361244869 0.0668008408217343 0.0211273151795248 64
"10207" 0.642568961177524 0.600250412890257 0.0861384839166123 0.0186790876422309 148
"10209" 0.630578522961485 0.628004663803791 0.0497481910182542 0.0150127735729132 51
"10210" 0.59992163408621 0.594962465485272 0.109957262355352 0.0245420234619842 75
"10213" 0.63137912845739 0.602882518866248 0.0589999010562575 0.0246528501611263 84
"10215" 0.564247937926364 0.574351745826972 0.0688686771630807 0.0131469246295112 28
"10220" 0.632012005552402 0.603838204385554 0.122782978669746 0.011157425908248 205
"10225" 0.522457269501498 0.518943860178389 0.0713673341418397 0.0138721366028495 11
"10226" 0.57907349882713 0.565032270158101 0.0750953207815623 0.0222149385438744 30
"10228" 0.606056187730782 0.579525761346126 0.0494891637044172 0.0159805786832594 68
"10230" 0.627684730255278 0.614985543683313 0.0628500110935971 0.0171607711962845 335
"10232" 0.58186901933406 0.601815743693233 0.118330999995894 0.0249591910839651 78
"10234" 0.515563787748214 0.504971504217859 0.100994195404334 0.014867480491113 11
"10241" 0.51988906219301 0.522308279969484 0.108221499538385 0.0309970620543207 23
"10255" 0.634958655689292 0.614777405362951 0.0484831112459291 0.0104114930583837 64
"10263" 0.549746081743695 0.577284617953928 0.112991904541346 0.0260322196001081 11
"10267" 0.559060338560402 0.559169800388962 0.108125472063285 0.027156575064452 14
"10270" 0.603614166893697 0.573828398744068 0.100581134061276 0.0184458776456428 10
"10273" 0.577508567424318 0.564137961348449 0.107668908678704 0.0214089138025611 18
"10279" 0.611672593964391 0.575586459038706 0.116546969202426 0.0259763364757089 13
"10281" 0.596596790079387 0.597479797218521 0.0853095298458392 0.0188070076433051 13
"10282" 0.572718284604436 0.56777021061723 0.0820261638196678 0.0206411262663039 13
"10284" 0.560025802069721 0.569161773285306 0.120347827983198 0.0201432844343949 14
"10285" 0.602172326876988 0.596003795251728 0.0905952289586731 0.0187397440116945 159
"10289" 0.534880791822602 0.535920825809807 0.0943102564154208 0.0116561223597559 19
"10304" 0.573914467841057 0.565729404068935 0.0487321096288695 0.0220303640045748 48
"10310" 0.587202647836789 0.57313274361503 0.0617333605559723 0.0193796701297255 11
"10311" 0.608406055021909 0.572050259937503 0.064468761312401 0.0131517309432452 11
"10313" 0.589429459623678 0.577302421005327 0.0632697490222082 0.0234654425023307 11
"10318" 0.569787695968573 0.567312383584542 0.081146451029314 0.02342483222468 28
"10336" 0.593378191964435 0.585300625910713 0.0714863559586089 0.0123013896257829 13
"10337" 0.57850786640056 0.548557794294544 0.0882744474546966 0.023452022249138 23
"10340" 0.602117102601758 0.592707393058944 0.0612432974552544 0.0185879669760737 47
"10342" 0.573656712241705 0.581878943796312 0.0659455774700688 0.0203449693679253 38
"10343" 0.603123007428639 0.596391865903521 0.0468244610402285 0.0115796958505846 16
"10344" 0.573449230246275 0.55158971546209 0.0467577377615717 0.020361548615941 12
"10346" 0.603538849127531 0.585428198503619 0.112654388626286 0.0239723828579283 11
"10351" 0.548509888054 0.553066271622859 0.108392986185401 0.0210892596000918 10
"10352" 0.607864859318954 0.594074794239539 0.101377334537519 0.0250536322306783 13
"10354" 0.535228048396778 0.542087306528434 0.116731600521745 0.0287771973167933 10
"10364" 0.578393222396131 0.584426737587778 0.105684910527642 0.0223741751645649 17
"10378" 0.592861997073934 0.589936256528216 0.0797328171899549 0.0174076189669082 65
"10383" 0.59037696887459 0.551906714964181 0.0453643535235135 0.0156858291145088 12
"10385" 0.619206750105661 0.60297090113319 0.111881420678668 0.0185481450363082 64
"10388" 0.596796844054152 0.588752783278504 0.0927434451135083 0.0169235317265674 14
"10391" 0.623821322078396 0.599603819281222 0.0666511148030501 0.019620217779006 137
"10393" 0.604277722315376 0.587159616248117 0.0659912471591896 0.0183453345748625 26
"10394" 0.578695364354899 0.580247248366265 0.0916222732744489 0.0166986153683396 31
"10399" 0.601635955115958 0.566635778578785 0.0529027465710247 0.018739186799068 22
"10401" 0.553298707395254 0.561515179944988 0.100765226876267 0.0204412964198069 12
"10405" 0.605828820841661 0.59614046414222 0.0546191037429882 0.0129341960422252 128
"10406" 0.615461251936537 0.59531207851797 0.0457370113474724 0.0174225982042918 13
"10407" 0.561668574541578 0.564684773200554 0.100236208403294 0.0169965668400103 20
"10408" 0.609382303704951 0.605269149417196 0.0886715705504079 0.0200463273567963 146
"10409" 0.533861999921145 0.539748294117075 0.0916076525244948 0.0190601650237653 18
"10410" 0.593195320057141 0.577157921434107 0.0838070092805473 0.0159349566178479 14
"10411" 0.549661870677797 0.531882411290148 0.0871637724797183 0.0205745534772994 9
"10415" 0.482791992852592 0.515487272604733 0.095211177009658 0.027410625187395 12
"10422" 0.600569633119596 0.598117309079342 0.0791840114220888 0.0192237597421173 23
"10426" 0.619233239836378 0.599498605694162 0.0654916558627696 0.0215149925854311 81
"10434" 0.524623808869921 0.540684452747022 0.111456859358352 0.0164349507832867 13
"10440" 0.531041707801945 0.506026534817751 0.091188292254814 0.0224499764066449 11
"10441" 0.620855590427247 0.584812512953355 0.0722056271588871 0.0149919564754776 103
"10443" 0.631948025584549 0.609089521159638 0.0938726086953349 0.0232453904133285 190
"10444" 0.59477569038965 0.592331800521816 0.0991876146676137 0.0183170284619242 181
"10453" 0.595179896888838 0.577015635978049 0.0927114936103053 0.0158346267840765 30
"10454" 0.581474702156428 0.569454841813068 0.0928571238855122 0.0203426250108968 26
"10467" 0.538916586068398 0.559371641291551 0.0739269445700257 0.0144871998060103 14
"10469" 0.587443828898233 0.561122563636998 0.0600532996989384 0.0218417386445657 19
"10470" 0.486459623535593 0.512027078254233 0.123535839927556 0.0154678477408612 8
"10475" 0.534771245658645 0.501787828667655 0.0682612951646217 0.0210369606811731 8
"10503" 0.510988512450892 0.506785012001646 0.110156279767418 0.0189653354678339 11
"10509" 0.587176010206518 0.583358475110407 0.0646411447305215 0.0233048147818161 16
"10510" 0.588618694765131 0.566413121770199 0.0956798284899409 0.0141484453815588 20
"10517" 0.577597228069875 0.524239069427487 0.0926575281395709 0.0189086514222491 13
