"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10051" 0.415416992198555 0.784197629041688 0.126671062439679 0.0255301338600685 40
"10055" 0.64271716851452 0.78036718356036 0.126556414126292 0.0202351902109937 27
"10060" 0.585732178246793 0.941735977744334 0.212219226653898 0.0182410260704601 123
"10062" 0.4953046482648 0.642217548462044 0.227515721425203 0.0296343493200297 10
"10066" 0.483146784365972 0.953446309906634 0.168190708545653 0.0198444003888885 71
"10069" 0.47256482745245 0.947356466454384 0.163104907317202 0.0133083871184721 71
"10071" 0.563881903947674 0.953316087024424 0.109910007441027 0.0395495918904537 83
"10072" 0.514414359664092 0.974823630209164 0.183614640348044 0.00608677742851539 150
"10073" 0.629088027516019 0.751963064746961 0.193048588352924 0.0125384159607238 16
"10079" 0.570125912047565 0.68569184574547 0.185692524535696 0.0303126360874536 15
"10080" 0.46341949888625 0.592561475870089 0.236198513258296 0.0236174949553834 10
"10082" 0.546089845272873 0.689429477582488 0.188420825285503 0.0234344374085107 10
"10091" 0.553768946226749 0.677119985064849 0.208269826773075 0.0252360704504609 12
"10092" 0.576282084852553 0.674247499095556 0.173755197252964 0.0141300268659742 11
"10097" 0.627048964243741 0.957107481312871 0.117223284340482 0.0111716481268102 114
"10098" 0.447152735752252 0.980850100925413 0.176533465423358 0.00621396689909749 153
"10099" 0.5787837630082 0.921970497725093 0.152923557873646 0.0238400816541112 60
"10102" 0.56222608563215 0.697735174061601 0.16796415007882 0.0189052247749899 14
"10104" 0.542074673571589 0.694928403480916 0.13439531120654 0.0152849028914826 18
"10114" 0.408055413528577 0.957894249019985 0.13963824250421 0.0226828307711556 109
"10115" 0.581423998269588 0.837690934098214 0.130584398230037 0.0126595638293829 42
"10117" 0.572958279495793 0.649235420808296 0.162263173566235 0.0163892511509096 10
"10120" 0.539900306802915 0.974087923744647 0.223274399022971 0.0364377069988331 96
"10125" 0.509157507039695 0.97608384426248 0.13785852864116 0.00832701083332793 147
"10126" 0.648629264799772 0.828497138695834 0.169933009520266 0.0209890187873642 43
"10128" 0.503816593003371 0.956554435145301 0.137427805633717 0.025061404364862 66
"10129" 0.524213760121152 0.770566333999749 0.182543932938402 0.021616249276831 32
"10130" 0.655599907006204 0.81176369359382 0.166521175360723 0.01000684044809 26
"10133" 0.428089812192279 0.770784989079826 0.205586203783043 0.0201306512075809 36
"10135" 0.589573948073507 0.942348994314782 0.220565186786731 0.0554714212458923 108
"10136" 0.452009728709694 0.832585270754537 0.208153700270519 0.0193864000922704 40
"10138" 0.59191635626447 0.979416325331412 0.174998298970036 0.00528042389959387 150
"10143" 0.458205965889943 0.744227939763761 0.131243029373257 0.0155104184887905 30
"10150" 0.459672282086017 0.802519397169353 0.153164579963283 0.0209183737549993 35
"10152" 0.514385261804289 0.941260099122314 0.185101221721982 0.0335415148942363 69
"10158" 0.53080122311343 0.709095887672674 0.186322098225724 0.0256711105394676 23
"10160" 0.594880760249611 0.717478035997913 0.172116195613349 0.0197763628887174 10
"10165" 0.538727502871525 0.949282651537271 0.167175573216659 0.0378267621642511 70
"10166" 0.465063195726938 0.947711113801813 0.168094791361354 0.0132958701846088 120
"10168" 0.449766099937463 0.773568800081059 0.203396715236084 0.018171177504586 41
"10169" 0.628598152592405 0.935682768637502 0.0743383082609629 0.111081802083309 81
"10172" 0.579755017317741 0.692694244791226 0.199570971575468 0.0199541280814699 15
"10176" 0.459959929080561 0.958671671969967 0.132728679941067 0.0104450984891027 140
"10177" 0.537904793231078 0.805194782699713 0.197429277592682 0.0148932888764063 37
"10180" 0.439968399467391 0.967079667789 0.188739139405068 0.031092198642047 108
"10181" 0.556320169902934 0.722954180474695 0.151413700661975 0.0213441136296614 21
"10182" 0.496721267877099 0.919777003526447 0.117738598676674 0.0191179063165813 113
"10187" 0.491453517759018 0.935055553156823 0.100807155978248 0.0263504044324715 59
"10189" 0.553403745716894 0.99779869691651 0.139340759839802 0.00230891443149382 188
"10194" 0.42811079454158 0.605204249875604 0.115534235902412 0.0136092409595093 12
"10206" 0.492304563014421 0.90389761309568 0.166057047489359 0.0190688510132012 64
"10207" 0.558738064593581 0.971867022291242 0.138246517331596 0.00787990340612306 148
"10209" 0.535490547137008 0.877418500548058 0.155772010574318 0.0305864681263809 51
"10210" 0.570140846364389 0.95668605962312 0.163104043072133 0.0243117098515772 75
"10213" 0.494648848337503 0.989733326831658 0.151063910898894 0.0212279883046639 84
"10215" 0.593694832178237 0.775496352375823 0.220261575290385 0.0211400495606712 28
"10225" 0.668100351965552 0.705657977047308 0.136221369330538 0.0118356427008694 11
"10226" 0.543343142792747 0.779770985633065 0.201499115846675 0.0236527075503627 30
"10228" 0.559893820032284 0.976075127073963 0.135258784096888 0.0144763943694345 68
"10232" 0.536819034336239 0.951676758078785 0.190622810524371 0.0585994948116036 78
"10234" 0.461795348554983 0.627603786868137 0.159783437616177 0.0228499888986849 11
"10241" 0.566101687903159 0.75853619260588 0.223487742865868 0.0179463211919592 23
